10,10,10,10,10,10,10,6,6,6,10,10,10,10,10
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,20,20,20,6,6,8,8,6,6,6,6,6,6,6
6,22,22,22,6,8,20,8,8,6,6,6,6,6,6
6,24,24,24,6,8,8,8,8,6,25,25,25,6,6
6,22,22,22,6,8,8,25,8,6,25,25,25,6,6
6,20,20,20,6,8,6,6,8,6,25,25,25,6,6
6,6,6,6,6,6,8,8,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7,3,3,3,3,3
18,18,18,7,1,1,1,7,7,1,1,1,1,1,1
18,22,18,3,1,1,1,7,7,1,1,1,1,1,1
18,22,18,1,1,1,1,7,7,1,25,25,25,25,1
18,18,18,1,1,1,1,7,7,7,25,25,25,25,1
6,6,1,1,3,7,7,7,7,1,25,25,25,25,1
18,18,1,1,3,45,45,7,7,7,25,25,25,25,1
18,18,1,1,3,45,45,7,7,1,25,25,25,25,1
18,18,1,1,1,7,7,7,7,1,1,1,1,1,1
18,18,1,1,1,1,1,7,7,1,1,1,1,1,1
1,1,1,1,1,1,1,7,7,1,1,1,1,1,1
